,player1,player2,player3,player4,player5,player6,start,end,duration,DZ Start,OZ Start,Neutral Start,Shots For,Shots Against,Score,GF,GA,ID,pos_x,pos_y,player,team,action,half
0,Fraser Cole,Murray Jaxson,Bays Brendan,Fishman Jesse,McKinney Sam,Onuska Matt,2,42,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1,Onuska Matt,Bays Brendan,Fishman Jesse,McKinney Sam,Murray Jaxson,Fedak Liam,42,45,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,Onuska Matt,Fedak Liam,Bays Brendan,Fishman Jesse,McKinney Sam,Santia Adamo,45,48,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3,Onuska Matt,Santia Adamo,Hendry Jordan,Fedak Liam,Pierce Emmett,Rose Simon,48,76,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
4,Onuska Matt,Phibbs Jack,Santia Adamo,Hendry Jordan,Rose Simon,Goldie Jaden,76,98,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
5,Onuska Matt,Ruscheinski Kieran,Goldie Jaden,Phibbs Jack,Santia Adamo,Wilson Owen,98,104,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
6,Onuska Matt,Ruscheinski Kieran,Wilson Owen,Goldie Jaden,Phibbs Jack,Popple Tate,104,129,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
7,Onuska Matt,Ruscheinski Kieran,Wilson Owen,Popple Tate,Goldie Jaden,Grein Adam,129,130,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
8,Onuska Matt,Ruscheinski Kieran,Wilson Owen,Popple Tate,Grein Adam,Wood Gavin,130,151,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
9,Bays Brendan,Davidson Aaron,Grein Adam,McKinney Sam,Onuska Matt,Wood Gavin,191,195,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,Bays Brendan,Goldie Jaden,McKinney Sam,Murray Jaxson,Onuska Matt,Pierce Emmett,422,431,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
11,Goldie Jaden,Murray Jaxson,Bays Brendan,McKinney Sam,Pierce Emmett,Onuska Matt,454,506,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
12,Onuska Matt,Goldie Jaden,Murray Jaxson,Bays Brendan,McKinney Sam,Popple Tate,506,510,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
13,Onuska Matt,Popple Tate,Ruscheinski Kieran,Goldie Jaden,Murray Jaxson,Wilson Owen,510,516,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
14,Onuska Matt,Popple Tate,Ruscheinski Kieran,Wilson Owen,Phibbs Jack,Fraser Cole,516,556,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
15,Onuska Matt,Popple Tate,Fraser Cole,Fedak Liam,Hendry Jordan,Rose Simon,556,574,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
16,Fedak Liam,Fraser Cole,Hendry Jordan,Onuska Matt,Popple Tate,Rose Simon,600,611,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
17,Fedak Liam,Fraser Cole,Hendry Jordan,Onuska Matt,Popple Tate,Rose Simon,632,635,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
