player,opponent,opponent_team,duration
Bays Brendan,Agostino Daniel,Concordia Stingers,128.0
Bays Brendan,Aiello Christiano,Western Mustangs,225.0
Bays Brendan,Allan Blake,Carleton Ravens,195.0
Bays Brendan,Allard Felix,Concordia Stingers,242.0
Bays Brendan,Allensen Nathan,Guelph Gryphons,331.0
Bays Brendan,Allepot Anthony,Western Mustangs,271.0
Bays Brendan,Amanatidis Peter,Carleton Ravens,98.0
Bays Brendan,Amousse Andrew,Brock Badgers,387.0
Bays Brendan,Anctil Julien,Concordia Stingers,239.0
Bays Brendan,Anderson Brenden,Wilfrid Laurier Golden Hawks,327.0
Bays Brendan,Anderson Josh,Nipissing Lakers,551.0
Bays Brendan,Athanasakos Nicholas,Toronto Varsity Blues,348.0
Bays Brendan,Awashish Mikisiw,McGill Redbirds,226.0
Bays Brendan,Badalamenti Benjamin,Lakehead Thunderwolves,431.0
Bays Brendan,Barnes Matthew,Toronto Metropolitan Bold,348.0
Bays Brendan,Beamin Cole,York Lions,335.0
Bays Brendan,Bedard Felix,Carleton Ravens,236.0
Bays Brendan,Belchamber Andrew,Ottawa Gee-Gees,301.0
Bays Brendan,Belton Reese,Carleton Ravens,191.0
Bays Brendan,Belzile Thomas,McGill Redbirds,199.0
Bays Brendan,Benwell Evan,Wilfrid Laurier Golden Hawks,768.0
Bays Brendan,Bernier Gabriel,Ontario Tech Ridgebacks,279.0
Bays Brendan,Bettens Nolan,Wilfrid Laurier Golden Hawks,230.0
Bays Brendan,Bignell Luke,Guelph Gryphons,196.0
Bays Brendan,Biondi Giordano,Guelph Gryphons,150.0
Bays Brendan,Blackwell Spencer,Lakehead Thunderwolves,695.0
Bays Brendan,Blake Bradley,RMC Paladins,301.0
Bays Brendan,Blanchard Alexandre,McGill Redbirds,108.0
Bays Brendan,Bolton Wade,RMC Paladins,266.0
Bays Brendan,Bonefon Alexis,Ottawa Gee-Gees,170.0
Bays Brendan,Boria Jonah,Brock Badgers,775.0
Bays Brendan,Bouchard Xavier,McGill Redbirds,330.0
Bays Brendan,Boucher Jacob,Windsor Lancers,683.0
Bays Brendan,Bowie Connor,Toronto Metropolitan Bold,845.0
Bays Brendan,Brand Evan,Toronto Metropolitan Bold,423.0
Bays Brendan,Brazier Hunter,Guelph Gryphons,242.0
Bays Brendan,Brown Hunter,York Lions,196.0
Bays Brendan,Brown Patrick,Wilfrid Laurier Golden Hawks,718.0
Bays Brendan,Bruder Andrew,Western Mustangs,113.0
Bays Brendan,Bryant Kaden,Ottawa Gee-Gees,380.0
Bays Brendan,Bulitka Shane,Western Mustangs,153.0
Bays Brendan,Caines Harrison,Nipissing Lakers,669.0
Bays Brendan,Campbell David,Nipissing Lakers,240.0
Bays Brendan,Campbell Isiah,Concordia Stingers,181.0
Bays Brendan,Campbell Nikolas,Lakehead Thunderwolves,237.0
Bays Brendan,Cap Dharan,Queen's Gaels,163.0
Bays Brendan,Casper Ethan,Guelph Gryphons,207.0
Bays Brendan,Castleman Oliver,Carleton Ravens,161.0
Bays Brendan,Chard Lucas,Wilfrid Laurier Golden Hawks,148.0
Bays Brendan,Charron Edouard,Concordia Stingers,49.0
Bays Brendan,Chenier Bradley,Ottawa Gee-Gees,165.0
Bays Brendan,Chiarot Aaron,Windsor Lancers,690.0
Bays Brendan,Chisholm Callum,Wilfrid Laurier Golden Hawks,889.0
Bays Brendan,Clarke Sean,Toronto Varsity Blues,223.0
Bays Brendan,Clavelle Brendon,Ottawa Gee-Gees,214.0
Bays Brendan,Collins William,Carleton Ravens,134.0
Bays Brendan,Collora Salvatore,Windsor Lancers,583.0
Bays Brendan,Coltart Bruce,RMC Paladins,564.0
Bays Brendan,Condotta Jaden,Toronto Metropolitan Bold,946.0
Bays Brendan,Cook A.J.,Brock Badgers,660.0
Bays Brendan,Cook Jack,Lakehead Thunderwolves,259.0
Bays Brendan,Cooper Mark,Toronto Varsity Blues,591.0
Bays Brendan,Cote Christophe,Brock Badgers,520.0
